Ь;название продукта;каллории;белки;жиры;углеводы;стоимость
1;рис;23;196.282821131171;281.245542434044;118.677684591967;100
2;гречка;65;124.461729834729;154.602156877809;151.803869054129;50
3;макароны;34;131.966425366409;138.373474479885;90.6666120194132;60
4;молоко;57;166.192245766433;117.121880217746;104.861664264172;60
5;курица;123;113.271363867534;276.394297694787;81.0924749806873;200
6;говЯдина;24;161.771987828979;142.248433500208;139.435877978394;300
7;свинина;37;122.253021951474;89.6648036054103;198.323272494599;250
8;лук;34;142.019979799807;162.004136351607;122.462489949976;50
9;морковь;125;63.3603978407336;154.705839273811;143.357619132439;20
10;свекла;58;126.817775859672;127.868924361246;223.010824053199;15
